Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
NTIP,"Network-1 Technologies, Inc.",2.76,66673314.48,n/a,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/ntip
IEC,IEC Electronics Corp.,6.41,66244677.03,n/a,n/a,Technology,Electrical Products,https://www.nasdaq.com/symbol/iec
IDN,"Intellicheck, Inc.",4.17,66224362.14,n/a,1999,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/idn
NBO,Neuberger Berman New York Municipal Fund Inc.,12.59,63919430.00,n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/nbo
VFL,Delaware Investments Florida Insured Municipal Income Fund,13.91,62990656.04,n/a,1993,n/a,n/a,https://www.nasdaq.com/symbol/vfl
ALO,Alio Gold Inc.,0.7335,62132689.39,n/a,2011,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/alo
CMCL,Caledonia Mining Corporation Plc,5.71,61381951.84,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/cmcl
ESP,Espey Mfg. & Electronics Corp.,24.75,59417646.75,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/esp
MHH,"Mastech Digital, Inc",5.38,59358427.70,n/a,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/mhh
AMBO,Ambow Education Holding Ltd.,2.65,57360728.70,n/a,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/ambo
IOR,"Income Opportunity Realty Investors, Inc.",13.75,57312942.50,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ior
AMPE,"Ampio Pharmaceuticals, Inc.",0.4007,56982690.30,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ampe
UAMY,United States Antimony Corporation,0.788,53920610.75,n/a,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/uamy
DIT,AMCON Distributing Company,90.51,53651341.17,n/a,n/a,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/dit
CMT,Core Molding Technologies Inc,6.28,51929822.40,n/a,n/a,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/cmt
MRIC,"MRI Interventions, Inc.",3.775,51665858.00,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mric
BKTI,BK Technologies Corporation,4.01,50974951.58,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/bkti
GV,Goldfield Corporation (The),2.07,50761645.38,n/a,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/gv
SGB,Southwest Georgia Financial Corporation,19.86,50559111.36,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/sgb
ASM,Avino Silver,0.6604,50208315.99,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/asm
INTT,inTest Corporation,4.7,49658710.10,n/a,1997,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/intt
PLG,Platinum Group Metals Ltd.,1.41,49255631.52,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/plg
APT,"Alpha Pro Tech, Ltd.",3.46,45391217.54,n/a,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/apt
KIQ,Kelso Technologies Inc,0.9497,44797430.67,n/a,n/a,Capital Goods,Railroads,https://www.nasdaq.com/symbol/kiq
LGL,"LGL Group, Inc. (The)",9.16,44636020.48,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/lgl
ELMD,"Electromed, Inc.",5.21,43807508.71,n/a,2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/elmd
BTN,"Ballantyne Strong, Inc",3,43556268.00,n/a,n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/btn
EGI,Entree Resources Ltd.,0.2442,42703607.85,n/a,2017,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/egi
IGC,India Globalization Capital Inc.,1.07,42277205.49,n/a,n/a,Technology,Electronic Components,https://www.nasdaq.com/symbol/igc
FRD,Friedman Industries Inc.,5.8,40596775.20,n/a,n/a,Capital Goods,Steel/Iron Ore,https://www.nasdaq.com/symbol/frd
LBY,"Libbey, Inc.",1.81,40448967.76,n/a,1993,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/lby
DXF,Dunxin Financial Holdings Limited,1.9158,39946909.05,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/dxf
