Symbol,Name,LastSale, MarketCap ,ADR TSO,IPOyear,Sector,Industry,Summary Quote
NAZ,Nuveen Arizona Quality Municipal Income Fund,13.58," 157,136,326 ",n/a,1992,n/a,n/a,https://www.nasdaq.com/symbol/naz
NKX,Nuveen California AMT-Free Quality Municipal Income Fund,15.51," 737,040,380 ",n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/nkx
NCB,Nuveen California Municipal Value Fund 2,16.65," 54,975,270 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ncb
NCA,"Nuveen California Municipal Value Fund, Inc.",10.61," 298,045,499 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nca
NAC,Nuveen California Quality Municipal Income Fund,15.08," 2,182,604,690 ",n/a,1999,n/a,n/a,https://www.nasdaq.com/symbol/nac
NTC,Nuveen Connecticut Quality Municipal Income Fund,13.52," 193,727,756 ",n/a,1993,n/a,n/a,https://www.nasdaq.com/symbol/ntc
JCE,Nuveen Core Equity Alpha Fund,13.95," 223,598,593 ",n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/jce
JCO,Nuveen Credit Opportunities 2022 Target Term Fund,9.83," 272,170,583 ",n/a,2017,n/a,n/a,https://www.nasdaq.com/symbol/jco
JQC,Nuveen Credit Strategies Income Fund,7.62," 1,033,342,790 ",n/a,2003,n/a,n/a,https://www.nasdaq.com/symbol/jqc
JDD,Nuveen Diversified Dividend and Income Fund,10.86," 214,338,575 ",n/a,2003,n/a,n/a,https://www.nasdaq.com/symbol/jdd
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund,17.18," 622,802,694 ",n/a,2014,n/a,n/a,https://www.nasdaq.com/symbol/diax
JEMD,Nuveen Emerging Markets Debt 2022 Target Term Fund,9," 128,119,950 ",n/a,2017,n/a,n/a,https://www.nasdaq.com/symbol/jemd
JMF,Nuveen Energy MLP Total Return Fund,8.28," 337,714,215 ",n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/jmf
NEV,Nuveen Enhanced Municipal Value Fund,14.81," 369,510,507 ",n/a,2009,n/a,n/a,https://www.nasdaq.com/symbol/nev
JFR,Nuveen Floating Rate Income Fund,9.72," 553,247,509 ",n/a,2004,n/a,n/a,https://www.nasdaq.com/symbol/jfr
